2021329621201|张三|CS101|计算机导论|3.000000
2021329621201|张三|CS102|程序设计基础|4.000000
2021329621201|张三|CS103|数据结构|4.000000
2021329621208|李四|CS101|计算机导论|3.000000
2021329621208|李四|CS102|程序设计基础|4.000000
2021329621219|赵六|SE201|软件工程导论|3.000000
2021329621219|赵六|SE202|软件需求分析|3.500000
2021329621220|黄荣元|DM201|数字媒体技术导论|3.000000
2021329621220|黄荣元|DM202|数字图像处理|4.000000
2021329621220|黄荣元|DM203|Web前端开发|3.500000
2021329621220|黄荣元|DM204|UI设计基础|3.000000
2021329621222|孙七|AI201|人工智能导论|3.000000
2021329621222|孙七|AI202|机器学习|4.000000
2021329621230|周八|AI201|人工智能导论|3.000000
2021329621230|周八|AI202|机器学习|4.000000
2021329621232|吴九|DM201|数字媒体技术导论|3.000000
2021329621232|吴九|DM202|数字图像处理|4.000000
2021329621233|郑十|DM201|数字媒体技术导论|3.000000
2021329621233|郑十|DM203|Web前端开发|3.500000
2021329621220|黄荣元|CS104|操作系统|3.500000
